School Name,State,Degree Level,Acceptance Rate,Average SAT,Undergraduate Students,White,Black,Hispanic,Asian,Net Price,4 Year Graduation Rate,Median Debt @ Graduation,Percent Female,First Generation,Median Family Income,Median Earnings @ 10 Years Post Grad,Mean Earnings @ 10 Years Post Grad,90th Percentile Earnings
Machzikei Hadath Rabbinical College,NY,3,95,0,142,0.9577,0,0,0,9411,0,0,0,0,19505,41527,41527,0
California State University-Chico,CA,3,95,0,12853,0.4321,0.0259,0.3776,0.0577,15578,0.617200217,16552,0.574591709,0.473401298,30780,55400,64172,91400
Kansas State University,KS,3,95.14,0,14762,0.7978,0.0272,0.0848,0.0183,17861,0.546298984,21250,0.520871143,0.224791377,67000,51900,57262,85600
California State University-San Marcos,CA,3,95.19,0,13844,0.253,0.0352,0.5128,0.0978,10774,0.564389359,17350,0.65968394,0.482576092,31282.5,51100,62908,86600
The University of Montana,MT,3,95.38,0,6937,0.7489,0.0086,0.067,0.0138,14856,0.280972417,22400,0.554015171,0.302325581,36050,43300,44511,74900
California State University-Fresno,CA,3,95.43,0,20985,0.1594,0.0289,0.6131,0.1229,6744,0.511571745,14505,0.621197252,0.53245174,27059,48500,61244,83800
Paier College,CT,3,95.45,0,198,0.4495,0.2273,0.2222,0.0455,30278,0.47826087,0,0,0,45199.5,33900,33900,0
Hilbert College,NY,3,95.49,0,827,0.5707,0.1064,0.0435,0.0097,17107,0.5,24750,0.571125265,0.381395349,41765,47700,48309,75800
California State University Maritime Academy,CA,3,95.5,0,808,0.4839,0.0272,0.224,0.1089,19615,0.624390244,24965,0.191542289,0.199475066,64087,87800,94784,141200
University of North Alabama,AL,3,95.68,0,5408,0.7258,0.1023,0.0459,0.0139,10527,0.418245614,22077,0.601393189,0.36326024,39436,42800,45415,68400
University of Wyoming,WY,3,95.98,0,8363,0.779,0.0103,0.0838,0.0122,11995,0.495089544,18000,0.543719639,0.277271069,54733.5,54200,56880,90700
Eastern Washington University,WA,3,96.12,0,6938,0.5846,0.0382,0.2005,0.0215,11676,0.427763108,19500,0.575044405,0.362318841,38218.5,46700,57897,77100
California State University-East Bay,CA,3,96.2,0,10709,0.1544,0.091,0.4046,0.2278,11159,0.510668563,16544,0.659212283,0.509297521,24527,58200,71401,97900
University of New England,ME,3,96.28,0,2272,0.864,0.0145,0.0335,0.0299,37516,0.653450808,25250,0.7390681,0.220730798,84109,51000,55921,79300
Southern New Hampshire University,NH,3,96.37,0,138138,0.5106,0.1596,0.1293,0.0203,32678,0.22636377,21082,0.67667104,0.482589577,27192,50200,50318,82800
Centenary University,NJ,3,96.54,0,1015,0.6325,0.0778,0.1803,0.0207,20285,0.649595687,23163,0.654191617,0.382154882,49039,49700,53726,86400
California State University-Stanislaus,CA,3,96.61,0,8836,0.1777,0.0244,0.6275,0.0894,5752,0.535947712,13540,0.677172654,0.599456686,28214,48500,63188,75100
Mercy College of Health Sciences,IA,3,96.71,0,909,0.6645,0.1188,0.11,0.0616,24354,0.613496933,14745,0.863084922,0.346080306,41783,48000,62234,77300
Emory & Henry College,VA,3,96.85,0,1080,0.7278,0.1444,0.0333,0.013,21555,0.391891892,26332,0.487410072,0.26705653,53147.5,45000,47385,72300
Colorado State University Global,CO,3,96.88,0,6333,0.5782,0.0794,0.1622,0.0423,14826,0.458641323,25000,0.617162307,0.448006255,38728,76813,76813,0
Marshall University,WV,3,96.88,0,6965,0.8409,0.0584,0.0254,0.0138,8370,0.441108545,23250,0.586842761,0.374023174,41378,41700,46354,70800
